state,district,market,commodity,min_price,max_price,modal_price,date
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2086,2474,2314,2026-03-13
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2075,2457,2307,2026-03-14
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2085,2520,2321,2026-03-15
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2165,2546,2320,2026-03-16
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2069,2606,2333,2026-03-17
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2146,2547,2317,2026-03-18
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2133,2561,2341,2026-03-19
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2082,2550,2317,2026-03-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2160,2496,2312,2026-03-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2096,2501,2346,2026-03-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2075,2481,2313,2026-03-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2172,2515,2340,2026-03-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2176,2571,2331,2026-03-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2068,2533,2315,2026-03-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2158,2622,2323,2026-03-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2108,2511,2330,2026-03-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2064,2529,2327,2026-03-29
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2122,2600,2330,2026-03-30
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2111,2663,2341,2026-03-31
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2063,2444,2300,2026-04-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2140,2569,2335,2026-04-02
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2072,2563,2332,2026-04-03
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2199,2527,2342,2026-04-04
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2107,2635,2357,2026-04-05
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2120,2610,2351,2026-04-06
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2078,2645,2348,2026-04-07
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2137,2555,2377,2026-04-08
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2153,2482,2339,2026-04-09
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2120,2509,2328,2026-04-10
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2135,2528,2318,2026-04-11
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2195,2511,2345,2026-04-12
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2172,2624,2322,2026-04-13
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2086,2592,2330,2026-04-14
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2132,2524,2339,2026-04-15
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2087,2667,2357,2026-04-16
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2104,2542,2337,2026-04-17
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2165,2653,2345,2026-04-18
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2144,2490,2335,2026-04-19
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2077,2642,2335,2026-04-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2053,2502,2333,2026-04-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2111,2579,2313,2026-04-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2125,2484,2303,2026-04-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2099,2613,2334,2026-04-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2148,2583,2337,2026-04-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2059,2533,2326,2026-04-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2158,2510,2300,2026-04-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2146,2553,2299,2026-04-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2114,2541,2312,2026-04-29
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2082,2610,2335,2026-04-30
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2142,2599,2288,2026-05-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2162,2520,2313,2026-05-02
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2166,2606,2310,2026-05-03
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2061,2505,2297,2026-05-04
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2036,2527,2288,2026-05-05
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2160,2574,2308,2026-05-06
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2085,2590,2274,2026-05-07
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2033,2521,2289,2026-05-08
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2110,2556,2290,2026-05-09
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2064,2481,2290,2026-05-10
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2130,2590,2286,2026-05-11
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2079,2511,2283,2026-05-12
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2103,2563,2281,2026-05-13
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2134,2486,2287,2026-05-14
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2058,2391,2250,2026-05-15
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2048,2489,2256,2026-05-16
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2000,2411,2269,2026-05-17
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2066,2421,2224,2026-05-18
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2083,2423,2250,2026-05-19
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2042,2374,2226,2026-05-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2046,2491,2243,2026-05-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2056,2534,2227,2026-05-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2039,2377,2198,2026-05-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2024,2382,2234,2026-05-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2022,2401,2236,2026-05-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1991,2418,2239,2026-05-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2070,2436,2251,2026-05-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2083,2487,2223,2026-05-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2036,2429,2250,2026-05-29
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2007,2495,2227,2026-05-30
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2010,2363,2213,2026-05-31
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2014,2431,2215,2026-06-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1982,2432,2193,2026-06-02
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1994,2310,2172,2026-06-03
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2016,2500,2216,2026-06-04
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1988,2319,2162,2026-06-05
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1928,2420,2187,2026-06-06
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2032,2400,2170,2026-06-07
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2001,2433,2205,2026-06-08
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2015,2347,2152,2026-06-09
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1923,2361,2175,2026-06-10
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2006,2289,2156,2026-06-11
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1910,2403,2154,2026-06-12
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1996,2459,2176,2026-06-13
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1949,2334,2173,2026-06-14
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2003,2435,2166,2026-06-15
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1941,2414,2152,2026-06-16
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1937,2441,2152,2026-06-17
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1982,2400,2143,2026-06-18
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1917,2450,2164,2026-06-19
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1946,2450,2165,2026-06-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1933,2270,2140,2026-06-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2008,2369,2143,2026-06-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1957,2337,2133,2026-06-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1946,2369,2115,2026-06-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1956,2368,2109,2026-06-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1880,2350,2129,2026-06-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1913,2387,2111,2026-06-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1875,2366,2111,2026-06-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1942,2262,2118,2026-06-29
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1881,2394,2127,2026-06-30
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1948,2252,2112,2026-07-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1944,2378,2094,2026-07-02
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1966,2345,2094,2026-07-03
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1950,2325,2105,2026-07-04
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1914,2394,2114,2026-07-05
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1863,2322,2116,2026-07-06
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1853,2243,2098,2026-07-07
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1961,2347,2121,2026-07-08
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1969,2288,2100,2026-07-09
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1900,2418,2127,2026-07-10
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1856,2398,2108,2026-07-11
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1874,2340,2119,2026-07-12
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1984,2330,2115,2026-07-13
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1942,2376,2141,2026-07-14
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1951,2414,2133,2026-07-15
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1932,2316,2155,2026-07-16
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1908,2287,2102,2026-07-17
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1974,2396,2104,2026-07-18
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1955,2339,2121,2026-07-19
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1967,2291,2136,2026-07-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1972,2375,2110,2026-07-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1963,2369,2098,2026-07-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1903,2289,2156,2026-07-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2015,2300,2146,2026-07-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1939,2309,2118,2026-07-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1923,2300,2126,2026-07-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1901,2429,2152,2026-07-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1974,2421,2132,2026-07-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1986,2304,2134,2026-07-29
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1984,2346,2117,2026-07-30
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1908,2377,2135,2026-07-31
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1873,2353,2113,2026-08-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1972,2428,2165,2026-08-02
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1977,2393,2166,2026-08-03
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2004,2347,2149,2026-08-04
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1993,2328,2162,2026-08-05
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1933,2310,2177,2026-08-06
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1965,2381,2175,2026-08-07
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1987,2313,2127,2026-08-08
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1978,2429,2189,2026-08-09
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2018,2460,2166,2026-08-10
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1940,2433,2138,2026-08-11
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1973,2357,2170,2026-08-12
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1902,2302,2151,2026-08-13
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1944,2348,2190,2026-08-14
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1949,2379,2188,2026-08-15
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2024,2380,2168,2026-08-16
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1934,2307,2170,2026-08-17
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1958,2381,2200,2026-08-18
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2068,2524,2318,2026-02-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2098,2570,2305,2026-02-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2158,2624,2315,2026-02-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2064,2527,2336,2026-02-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2091,2527,2347,2026-02-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2122,2585,2353,2026-02-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2101,2592,2315,2026-02-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2092,2562,2372,2026-02-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2150,2603,2361,2026-02-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2091,2586,2360,2026-03-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2086,2537,2328,2026-03-02
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2084,2567,2365,2026-03-03
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2087,2661,2353,2026-03-04
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2150,2617,2349,2026-03-05
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2099,2616,2372,2026-03-06
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2199,2690,2403,2026-03-07
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2116,2570,2360,2026-03-08
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2185,2630,2379,2026-03-09
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2091,2530,2360,2026-03-10
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2146,2573,2399,2026-03-11
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2120,2694,2381,2026-03-12
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2104,2621,2379,2026-03-13
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2130,2623,2403,2026-03-14
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2251,2710,2400,2026-03-15
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2130,2664,2393,2026-03-16
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2264,2672,2420,2026-03-17
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2201,2555,2377,2026-03-18
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2177,2648,2421,2026-03-19
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2113,2642,2383,2026-03-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2167,2673,2416,2026-03-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2203,2570,2416,2026-03-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2157,2566,2397,2026-03-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2184,2719,2440,2026-03-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2233,2672,2413,2026-03-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2143,2698,2379,2026-03-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2242,2742,2412,2026-03-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2279,2616,2435,2026-03-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2137,2706,2418,2026-03-29
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2178,2755,2452,2026-03-30
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2174,2615,2437,2026-03-31
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2244,2688,2440,2026-04-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2187,2741,2426,2026-04-02
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2226,2678,2457,2026-04-03
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2203,2631,2427,2026-04-04
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2177,2757,2436,2026-04-05
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2227,2722,2467,2026-04-06
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2164,2769,2440,2026-04-07
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2248,2662,2450,2026-04-08
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2239,2692,2442,2026-04-09
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2266,2726,2428,2026-04-10
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2171,2717,2427,2026-04-11
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2133,2674,2419,2026-04-12
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2199,2750,2443,2026-04-13
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2163,2751,2440,2026-04-14
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2252,2602,2428,2026-04-15
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2157,2698,2414,2026-04-16
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2255,2700,2447,2026-04-17
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2197,2670,2455,2026-04-18
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2173,2720,2395,2026-04-19
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2182,2717,2455,2026-04-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2177,2791,2471,2026-04-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2270,2681,2426,2026-04-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2242,2606,2431,2026-04-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2216,2687,2424,2026-04-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2291,2776,2448,2026-04-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2183,2573,2407,2026-04-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2210,2636,2415,2026-04-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2148,2643,2432,2026-04-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2180,2709,2390,2026-04-29
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2140,2584,2376,2026-04-30
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2142,2628,2398,2026-05-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Wheat,2160,2612,2432,2026-05-02
